product_id,date,stock_quantity,reorder_level
P005,2026-09-01,20,20
P005,2026-09-02,18,20
P005,2026-09-03,11,20
P005,2026-09-04,9,20
P005,2026-09-05,8,20
P005,2026-09-06,5,20
P006,2026-08-08,80,30
P006,2026-08-09,76,30
P006,2026-08-10,71,30
P006,2026-08-11,65,30
P006,2026-08-12,60,30
P006,2026-08-13,140,30
P006,2026-08-14,133,30
P006,2026-08-15,126,30
P006,2026-08-16,115,30
P006,2026-08-17,109,30
P006,2026-08-18,105,30
P006,2026-08-19,94,30
P006,2026-08-20,88,30
P006,2026-08-21,85,30
P006,2026-08-22,78,30
P006,2026-08-23,76,30
P006,2026-08-24,71,30
P006,2026-08-25,69,30
P006,2026-08-26,64,30
P006,2026-08-27,61,30
P006,2026-08-28,58,30
P006,2026-08-29,47,30
P006,2026-08-30,43,30
P006,2026-08-31,38,30
P006,2026-09-01,33,30
P006,2026-09-02,27,30
P006,2026-09-03,25,30
P006,2026-09-04,19,30
P006,2026-09-05,68,30
P006,2026-09-06,60,30
P007,2026-08-08,65,25
P007,2026-08-09,85,25
P007,2026-08-10,83,25
P007,2026-08-11,77,25
P007,2026-08-12,149,25
P007,2026-08-13,141,25
P007,2026-08-14,187,25
P007,2026-08-15,183,25
P007,2026-08-16,180,25
P007,2026-08-17,176,25
P007,2026-08-18,241,25
P007,2026-08-19,237,25
P007,2026-08-20,297,25
P007,2026-08-21,293,25
P007,2026-08-22,284,25
P007,2026-08-23,280,25
P007,2026-08-24,273,25
P007,2026-08-25,269,25
P007,2026-08-26,339,25
P007,2026-08-27,396,25
P007,2026-08-28,389,25
P007,2026-08-29,381,25
P007,2026-08-30,372,25
P007,2026-08-31,369,25
P007,2026-09-01,367,25
P007,2026-09-02,365,25
P007,2026-09-03,362,25
P007,2026-09-04,395,25
P007,2026-09-05,388,25
P007,2026-09-06,378,25
P008,2026-08-08,70,25
P008,2026-08-09,65,25
P008,2026-08-10,63,25
P008,2026-08-11,61,25
P008,2026-08-12,55,25
P008,2026-08-13,51,25
P008,2026-08-14,45,25
P008,2026-08-15,35,25
P008,2026-08-16,23,25
P008,2026-08-17,60,25
P008,2026-08-18,53,25
P008,2026-08-19,51,25
P008,2026-08-20,118,25
P008,2026-08-21,113,25
P008,2026-08-22,110,25
P008,2026-08-23,105,25
P008,2026-08-24,103,25
P008,2026-08-25,99,25
P008,2026-08-26,96,25
P008,2026-08-27,94,25
P008,2026-08-28,91,25
P008,2026-08-29,87,25
P008,2026-08-30,121,25
P008,2026-08-31,117,25
P008,2026-09-01,114,25
P008,2026-09-02,146,25
P008,2026-09-03,143,25
P008,2026-09-04,138,25
P008,2026-09-05,131,25
P008,2026-09-06,126,25
P009,2026-08-08,35,15
P009,2026-08-09,34,15
P009,2026-08-10,33,15
P009,2026-08-11,31,15
P009,2026-08-12,29,15
P009,2026-08-13,25,15
P009,2026-08-14,25,15
P009,2026-08-15,22,15
P009,2026-08-16,22,15
P009,2026-08-17,20,15
P009,2026-08-18,17,15
P009,2026-08-19,15,15
P009,2026-08-20,15,15
P009,2026-08-21,13,15
P009,2026-08-22,10,15
P009,2026-08-23,47,15
P009,2026-08-24,44,15
P009,2026-08-25,41,15
P009,2026-08-26,40,15
P009,2026-08-27,38,15
P009,2026-08-28,36,15
P009,2026-08-29,35,15
P009,2026-08-30,33,15
P009,2026-08-31,32,15
P009,2026-09-01,28,15
P009,2026-09-02,27,15
P009,2026-09-03,26,15
P009,2026-09-04,25,15
P009,2026-09-05,24,15
P009,2026-09-06,22,15
P010,2026-08-08,125,45
P010,2026-08-09,118,45
P010,2026-08-10,111,45
P010,2026-08-11,97,45
P010,2026-08-12,90,45
P010,2026-08-13,82,45
P010,2026-08-14,68,45
P010,2026-08-15,59,45
P010,2026-08-16,50,45
P010,2026-08-17,177,45
P010,2026-08-18,171,45
P010,2026-08-19,268,45
P010,2026-08-20,260,45
P010,2026-08-21,255,45
P010,2026-08-22,240,45
P010,2026-08-23,232,45
P010,2026-08-24,225,45
P010,2026-08-25,218,45
P010,2026-08-26,203,45
P010,2026-08-27,193,45
P010,2026-08-28,187,45
P010,2026-08-29,178,45
P010,2026-08-30,170,45
P010,2026-08-31,162,45
P010,2026-09-01,152,45
P010,2026-09-02,141,45
P010,2026-09-03,132,45
P010,2026-09-04,122,45
P010,2026-09-05,107,45
P010,2026-09-06,93,45
P011,2026-08-08,90,35
P011,2026-08-09,86,35
P011,2026-08-10,81,35
P011,2026-08-11,78,35
P011,2026-08-12,74,35
P011,2026-08-13,148,35
P011,2026-08-14,138,35
P011,2026-08-15,132,35
P011,2026-08-16,124,35
P011,2026-08-17,117,35
P011,2026-08-18,114,35
P011,2026-08-19,149,35
P011,2026-08-20,137,35
P011,2026-08-21,134,35
P011,2026-08-22,128,35
P011,2026-08-23,120,35
P011,2026-08-24,113,35
P011,2026-08-25,108,35
P011,2026-08-26,98,35
P011,2026-08-27,96,35
P011,2026-08-28,89,35
P011,2026-08-29,84,35
P011,2026-08-30,112,35
P011,2026-08-31,108,35
P011,2026-09-01,107,35
P011,2026-09-02,146,35
P011,2026-09-03,140,35
P011,2026-09-04,131,35
P011,2026-09-05,123,35
P011,2026-09-06,116,35
P012,2026-08-08,55,20
P012,2026-08-09,52,20
P012,2026-08-10,50,20
P012,2026-08-11,45,20
P012,2026-08-12,80,20
P012,2026-08-13,74,20
P012,2026-08-14,72,20
P012,2026-08-15,70,20
P012,2026-08-16,67,20
P012,2026-08-17,64,20
P012,2026-08-18,89,20
P012,2026-08-19,119,20
P012,2026-08-20,114,20
P012,2026-08-21,111,20
P012,2026-08-22,140,20
P012,2026-08-23,135,20
P012,2026-08-24,135,20
P012,2026-08-25,130,20
P012,2026-08-26,128,20
P012,2026-08-27,124,20
P012,2026-08-28,139,20
P012,2026-08-29,130,20
P012,2026-08-30,128,20
P012,2026-08-31,125,20
P012,2026-09-01,122,20
P012,2026-09-02,115,20
P012,2026-09-03,111,20
P012,2026-09-04,106,20
P012,2026-09-05,100,20
P012,2026-09-06,95,20
P013,2026-08-08,115,40
P013,2026-08-09,101,40
P013,2026-08-10,95,40
P013,2026-08-11,81,40
P013,2026-08-12,74,40
P013,2026-08-13,67,40
P013,2026-08-14,52,40
P013,2026-08-15,46,40
P013,2026-08-16,39,40
P013,2026-08-17,33,40
P013,2026-08-18,22,40
P013,2026-08-19,14,40
P013,2026-08-20,5,40
P013,2026-08-21,0,40
P013,2026-08-22,0,40
P013,2026-08-23,0,40
P013,2026-08-24,0,40
P013,2026-08-25,0,40
P013,2026-08-26,0,40
P013,2026-08-27,0,40
P013,2026-08-28,0,40
P013,2026-08-29,0,40
P013,2026-08-30,0,40
P013,2026-08-31,118,40
P013,2026-09-01,111,40
P013,2026-09-02,106,40
P013,2026-09-03,154,40
P013,2026-09-04,231,40
P013,2026-09-05,226,40
P013,2026-09-06,216,40
P014,2026-08-08,35,15
P014,2026-08-09,31,15
P014,2026-08-10,56,15
P014,2026-08-11,52,15
P014,2026-08-12,93,15
P014,2026-08-13,89,15
P014,2026-08-14,87,15
P014,2026-08-15,83,15
P014,2026-08-16,79,15
P014,2026-08-17,76,15
P014,2026-08-18,73,15
P014,2026-08-19,73,15
P014,2026-08-20,70,15
P014,2026-08-21,70,15
P014,2026-08-22,69,15
P014,2026-08-23,63,15
P014,2026-08-24,60,15
P014,2026-08-25,58,15
P014,2026-08-26,57,15
P014,2026-08-27,50,15
P014,2026-08-28,48,15
P014,2026-08-29,62,15
P014,2026-08-30,61,15
P014,2026-08-31,57,15
P014,2026-09-01,55,15
P014,2026-09-02,52,15
P014,2026-09-03,50,15
P014,2026-09-04,76,15
P014,2026-09-05,75,15
P014,2026-09-06,72,15
P015,2026-08-08,75,30
P015,2026-08-09,63,30
P015,2026-08-10,115,30
P015,2026-08-11,108,30
P015,2026-08-12,101,30
P015,2026-08-13,93,30
P015,2026-08-14,85,30
P015,2026-08-15,78,30
P015,2026-08-16,70,30
P015,2026-08-17,62,30
P015,2026-08-18,57,30
P015,2026-08-19,49,30
P015,2026-08-20,41,30
P015,2026-08-21,36,30
P015,2026-08-22,75,30
P015,2026-08-23,67,30
P015,2026-08-24,60,30
P015,2026-08-25,58,30
P015,2026-08-26,54,30
P015,2026-08-27,50,30
P015,2026-08-28,41,30
P015,2026-08-29,35,30
P015,2026-08-30,30,30
P015,2026-08-31,21,30
P015,2026-09-01,15,30
P015,2026-09-02,7,30
P015,2026-09-03,1,30
P015,2026-09-04,0,30
P015,2026-09-05,0,30
P015,2026-09-06,0,30
