transaction_id,date,customer_id,product_id,product_name,category,quantity,unit_price,region
T000050,2026-03-04,C121,P006,Bluetooth Speaker,Electronics,11,2499,East
T000051,2026-03-04,C196,P007,Power Bank,Electronics,4,1799,Central
T000052,2026-03-04,C124,P008,Wireless Headphones,Audio,1,3999,North
T000053,2026-03-04,C094,P009,Smart Watch,Wearables,2,5999,South
T000054,2026-03-04,C155,P010,HDMI Cable,Accessories,11,899,Central
T000055,2026-03-04,C052,P011,USB Hub,Accessories,8,1299,East
T000056,2026-03-04,C158,P012,Laptop Backpack,Accessories,2,2299,North
T000057,2026-03-04,C093,P013,Phone Stand,Accessories,9,699,South
T000058,2026-03-04,C205,P014,Portable SSD,Storage,3,6499,West
T000059,2026-03-04,C165,P015,Wireless Charger,Electronics,3,1599,Central
T000060,2026-03-05,C017,P001,Wireless Mouse,Accessories,9,1499,East
T000061,2026-03-05,C108,P002,Mechanical Keyboard,Accessories,3,4499,West
T000062,2026-03-05,C172,P003,USB-C Cable,Accessories,15,499,North
T000063,2026-03-05,C017,P004,Laptop Stand,Accessories,3,1899,South
T000064,2026-03-05,C280,P005,Webcam,Electronics,2,3299,West
T000065,2026-03-05,C272,P006,Bluetooth Speaker,Electronics,3,2499,East
T000066,2026-03-05,C236,P007,Power Bank,Electronics,7,1799,Central
T000067,2026-03-05,C105,P008,Wireless Headphones,Audio,4,3999,North
T000068,2026-03-05,C289,P010,HDMI Cable,Accessories,7,899,Central
T000069,2026-03-05,C192,P011,USB Hub,Accessories,7,1299,East
T000070,2026-03-05,C002,P012,Laptop Backpack,Accessories,4,2299,North
T000071,2026-03-05,C016,P013,Phone Stand,Accessories,10,699,South
T000072,2026-03-05,C288,P015,Wireless Charger,Electronics,10,1599,Central
T000073,2026-03-06,C230,P001,Wireless Mouse,Accessories,6,1499,East
T000074,2026-03-06,C087,P002,Mechanical Keyboard,Accessories,4,4499,West
T000075,2026-03-06,C224,P003,USB-C Cable,Accessories,10,499,North
T000076,2026-03-06,C297,P004,Laptop Stand,Accessories,4,1899,South
T000077,2026-03-06,C193,P005,Webcam,Electronics,7,3299,West
T000078,2026-03-06,C281,P006,Bluetooth Speaker,Electronics,7,2499,East
T000079,2026-03-06,C047,P007,Power Bank,Electronics,7,1799,Central
T000080,2026-03-06,C057,P008,Wireless Headphones,Audio,4,3999,North
T000081,2026-03-06,C106,P009,Smart Watch,Wearables,4,5999,South
T000082,2026-03-06,C067,P010,HDMI Cable,Accessories,16,899,Central
T000083,2026-03-06,C166,P011,USB Hub,Accessories,3,1299,East
T000084,2026-03-06,C213,P012,Laptop Backpack,Accessories,2,2299,North
T000085,2026-03-06,C297,P013,Phone Stand,Accessories,10,699,South
T000086,2026-03-06,C049,P014,Portable SSD,Storage,1,6499,West
T000087,2026-03-06,C013,P015,Wireless Charger,Electronics,6,1599,Central
T000088,2026-03-07,C244,P001,Wireless Mouse,Accessories,13,1499,East
T000089,2026-03-07,C201,P002,Mechanical Keyboard,Accessories,7,4499,West
T000090,2026-03-07,C230,P003,USB-C Cable,Accessories,29,499,North
T000091,2026-03-07,C010,P004,Laptop Stand,Accessories,9,1899,South
T000092,2026-03-07,C244,P005,Webcam,Electronics,2,3299,West
T000093,2026-03-07,C279,P006,Bluetooth Speaker,Electronics,11,2499,East
T000094,2026-03-07,C277,P007,Power Bank,Electronics,8,1799,Central
T000095,2026-03-07,C139,P008,Wireless Headphones,Audio,9,3999,North
T000096,2026-03-07,C110,P009,Smart Watch,Wearables,1,5999,South
T000097,2026-03-07,C240,P010,HDMI Cable,Accessories,6,899,Central
T000098,2026-03-07,C149,P011,USB Hub,Accessories,12,1299,East
T000099,2026-03-07,C275,P012,Laptop Backpack,Accessories,6,2299,North
T000100,2026-03-07,C285,P013,Phone Stand,Accessories,10,699,South
T000101,2026-03-07,C297,P014,Portable SSD,Storage,2,6499,West
T000102,2026-03-07,C156,P015,Wireless Charger,Electronics,3,1599,Central
T000103,2026-03-08,C025,P001,Wireless Mouse,Accessories,14,1499,East
T000104,2026-03-08,C184,P002,Mechanical Keyboard,Accessories,4,4499,West
T000105,2026-03-08,C030,P003,USB-C Cable,Accessories,12,499,North
T000106,2026-03-08,C087,P004,Laptop Stand,Accessories,6,1899,South
T000107,2026-03-08,C126,P005,Webcam,Electronics,4,3299,West
T000108,2026-03-08,C260,P006,Bluetooth Speaker,Electronics,5,2499,East
T000109,2026-03-08,C063,P007,Power Bank,Electronics,12,1799,Central
T000110,2026-03-08,C176,P008,Wireless Headphones,Audio,10,3999,North
T000111,2026-03-08,C058,P009,Smart Watch,Wearables,4,5999,South
T000112,2026-03-08,C248,P010,HDMI Cable,Accessories,24,899,Central
T000113,2026-03-08,C167,P011,USB Hub,Accessories,7,1299,East
T000114,2026-03-08,C239,P012,Laptop Backpack,Accessories,6,2299,North
T000115,2026-03-08,C300,P013,Phone Stand,Accessories,9,699,South
T000116,2026-03-08,C254,P014,Portable SSD,Storage,5,6499,West
T000117,2026-03-08,C050,P015,Wireless Charger,Electronics,3,1599,Central
T000118,2026-03-09,C078,P001,Wireless Mouse,Accessories,6,1499,East
T000119,2026-03-09,C120,P002,Mechanical Keyboard,Accessories,7,4499,West
T000120,2026-03-09,C017,P003,USB-C Cable,Accessories,7,499,North
T000121,2026-03-09,C227,P005,Webcam,Electronics,4,3299,West
T000122,2026-03-09,C058,P006,Bluetooth Speaker,Electronics,6,2499,East
T000123,2026-03-09,C230,P007,Power Bank,Electronics,7,1799,Central
T000124,2026-03-09,C115,P008,Wireless Headphones,Audio,5,3999,North
T000125,2026-03-09,C243,P009,Smart Watch,Wearables,1,5999,South
T000126,2026-03-09,C026,P010,HDMI Cable,Accessories,7,899,Central
T000127,2026-03-09,C086,P011,USB Hub,Accessories,8,1299,East
T000128,2026-03-09,C129,P012,Laptop Backpack,Accessories,5,2299,North
T000129,2026-03-09,C083,P013,Phone Stand,Accessories,13,699,South
T000130,2026-03-09,C274,P014,Portable SSD,Storage,2,6499,West
T000131,2026-03-09,C086,P015,Wireless Charger,Electronics,5,1599,Central
T000132,2026-03-10,C258,P001,Wireless Mouse,Accessories,9,1499,East
T000133,2026-03-10,C157,P002,Mechanical Keyboard,Accessories,6,4499,West
T000134,2026-03-10,C216,P003,USB-C Cable,Accessories,14,499,North
T000135,2026-03-10,C296,P004,Laptop Stand,Accessories,5,1899,South
T000136,2026-03-10,C010,P005,Webcam,Electronics,2,3299,West
T000137,2026-03-10,C258,P006,Bluetooth Speaker,Electronics,6,2499,East
T000138,2026-03-10,C027,P007,Power Bank,Electronics,6,1799,Central
T000139,2026-03-10,C126,P008,Wireless Headphones,Audio,3,3999,North
T000140,2026-03-10,C048,P009,Smart Watch,Wearables,2,5999,South
T000141,2026-03-10,C290,P010,HDMI Cable,Accessories,10,899,Central
T000142,2026-03-10,C168,P011,USB Hub,Accessories,6,1299,East
T000143,2026-03-10,C144,P012,Laptop Backpack,Accessories,5,2299,North
T000144,2026-03-10,C246,P013,Phone Stand,Accessories,8,699,South
T000145,2026-03-10,C145,P014,Portable SSD,Storage,2,6499,West
T000146,2026-03-10,C003,P015,Wireless Charger,Electronics,7,1599,Central
T000147,2026-03-11,C065,P001,Wireless Mouse,Accessories,8,1499,East
T000148,2026-03-11,C009,P002,Mechanical Keyboard,Accessories,4,4499,West
T000149,2026-03-11,C236,P003,USB-C Cable,Accessories,18,499,North
T000150,2026-03-11,C045,P004,Laptop Stand,Accessories,7,1899,South
T000151,2026-03-11,C253,P005,Webcam,Electronics,1,3299,West
T000152,2026-03-11,C278,P006,Bluetooth Speaker,Electronics,6,2499,East
T000153,2026-03-11,C170,P007,Power Bank,Electronics,10,1799,Central
T000154,2026-03-11,C022,P008,Wireless Headphones,Audio,2,3999,North
T000155,2026-03-11,C247,P009,Smart Watch,Wearables,2,5999,South
T000156,2026-03-11,C107,P010,HDMI Cable,Accessories,3,899,Central
T000157,2026-03-11,C048,P011,USB Hub,Accessories,4,1299,East
T000158,2026-03-11,C018,P012,Laptop Backpack,Accessories,3,2299,North
T000159,2026-03-11,C209,P013,Phone Stand,Accessories,8,699,South
T000160,2026-03-11,C246,P015,Wireless Charger,Electronics,8,1599,Central
T000161,2026-03-12,C010,P001,Wireless Mouse,Accessories,8,1499,East
T000162,2026-03-12,C152,P002,Mechanical Keyboard,Accessories,4,4499,West
T000163,2026-03-12,C133,P003,USB-C Cable,Accessories,11,499,North
T000164,2026-03-12,C149,P004,Laptop Stand,Accessories,8,1899,South
T000165,2026-03-12,C144,P005,Webcam,Electronics,4,3299,West
T000166,2026-03-12,C266,P006,Bluetooth Speaker,Electronics,8,2499,East
T000167,2026-03-12,C227,P007,Power Bank,Electronics,5,1799,Central
T000168,2026-03-12,C177,P008,Wireless Headphones,Audio,1,3999,North
T000169,2026-03-12,C043,P009,Smart Watch,Wearables,1,5999,South
T000170,2026-03-12,C014,P010,HDMI Cable,Accessories,5,899,Central
T000171,2026-03-12,C165,P011,USB Hub,Accessories,9,1299,East
T000172,2026-03-12,C088,P012,Laptop Backpack,Accessories,4,2299,North
T000173,2026-03-12,C187,P013,Phone Stand,Accessories,8,699,South
T000174,2026-03-12,C042,P014,Portable SSD,Storage,2,6499,West
T000175,2026-03-12,C188,P015,Wireless Charger,Electronics,3,1599,Central
T000176,2026-03-13,C291,P001,Wireless Mouse,Accessories,5,1499,East
T000177,2026-03-13,C212,P002,Mechanical Keyboard,Accessories,5,4499,West
T000178,2026-03-13,C082,P003,USB-C Cable,Accessories,8,499,North
T000179,2026-03-13,C073,P004,Laptop Stand,Accessories,5,1899,South
T000180,2026-03-13,C151,P005,Webcam,Electronics,3,3299,West
T000181,2026-03-13,C170,P006,Bluetooth Speaker,Electronics,6,2499,East
T000182,2026-03-13,C155,P007,Power Bank,Electronics,9,1799,Central
T000183,2026-03-13,C145,P008,Wireless Headphones,Audio,3,3999,North
T000184,2026-03-13,C057,P009,Smart Watch,Wearables,2,5999,South
T000185,2026-03-13,C034,P010,HDMI Cable,Accessories,11,899,Central
T000186,2026-03-13,C122,P011,USB Hub,Accessories,4,1299,East
T000187,2026-03-13,C218,P012,Laptop Backpack,Accessories,4,2299,North
T000188,2026-03-13,C014,P013,Phone Stand,Accessories,12,699,South
T000189,2026-03-13,C122,P014,Portable SSD,Storage,1,6499,West
T000190,2026-03-13,C182,P015,Wireless Charger,Electronics,12,1599,Central
T000191,2026-03-14,C266,P001,Wireless Mouse,Accessories,14,1499,East
T000192,2026-03-14,C218,P002,Mechanical Keyboard,Accessories,10,4499,West
T000193,2026-03-14,C176,P003,USB-C Cable,Accessories,19,499,North
T000194,2026-03-14,C153,P004,Laptop Stand,Accessories,1,1899,South
T000195,2026-03-14,C181,P005,Webcam,Electronics,2,3299,West
T000196,2026-03-14,C135,P006,Bluetooth Speaker,Electronics,6,2499,East
T000197,2026-03-14,C010,P007,Power Bank,Electronics,5,1799,Central
T000198,2026-03-14,C115,P008,Wireless Headphones,Audio,8,3999,North
T000199,2026-03-14,C263,P009,Smart Watch,Wearables,2,5999,South
T000200,2026-03-14,C288,P010,HDMI Cable,Accessories,14,899,Central
T000201,2026-03-14,C143,P011,USB Hub,Accessories,6,1299,East
T000202,2026-03-14,C124,P012,Laptop Backpack,Accessories,9,2299,North
T000203,2026-03-14,C017,P013,Phone Stand,Accessories,11,699,South
T000204,2026-03-14,C085,P014,Portable SSD,Storage,4,6499,West
T000205,2026-03-14,C004,P015,Wireless Charger,Electronics,7,1599,Central
T000206,2026-03-15,C085,P001,Wireless Mouse,Accessories,7,1499,East
T000207,2026-03-15,C082,P002,Mechanical Keyboard,Accessories,4,4499,West
T000208,2026-03-15,C142,P003,USB-C Cable,Accessories,19,499,North
T000209,2026-03-15,C233,P004,Laptop Stand,Accessories,2,1899,South
T000210,2026-03-15,C021,P005,Webcam,Electronics,2,3299,West
T000211,2026-03-15,C008,P006,Bluetooth Speaker,Electronics,9,2499,East
T000212,2026-03-15,C210,P007,Power Bank,Electronics,4,1799,Central
T000213,2026-03-15,C264,P008,Wireless Headphones,Audio,4,3999,North
T000214,2026-03-15,C218,P009,Smart Watch,Wearables,2,5999,South
T000215,2026-03-15,C234,P010,HDMI Cable,Accessories,18,899,Central
T000216,2026-03-15,C177,P011,USB Hub,Accessories,8,1299,East
T000217,2026-03-15,C274,P012,Laptop Backpack,Accessories,1,2299,North
T000218,2026-03-15,C255,P013,Phone Stand,Accessories,7,699,South
T000219,2026-03-15,C184,P014,Portable SSD,Storage,1,6499,West
T000220,2026-03-15,C288,P015,Wireless Charger,Electronics,8,1599,Central
T000221,2026-03-16,C175,P001,Wireless Mouse,Accessories,8,1499,East
T000222,2026-03-16,C240,P002,Mechanical Keyboard,Accessories,2,4499,West
T000223,2026-03-16,C033,P003,USB-C Cable,Accessories,19,499,North
T000224,2026-03-16,C063,P004,Laptop Stand,Accessories,3,1899,South
T000225,2026-03-16,C141,P005,Webcam,Electronics,1,3299,West
T000226,2026-03-16,C017,P006,Bluetooth Speaker,Electronics,12,2499,East
T000227,2026-03-16,C084,P007,Power Bank,Electronics,4,1799,Central
T000228,2026-03-16,C094,P008,Wireless Headphones,Audio,3,3999,North
T000229,2026-03-16,C121,P009,Smart Watch,Wearables,3,5999,South
T000230,2026-03-16,C069,P010,HDMI Cable,Accessories,6,899,Central
T000231,2026-03-16,C059,P011,USB Hub,Accessories,3,1299,East
T000232,2026-03-16,C191,P012,Laptop Backpack,Accessories,2,2299,North
T000233,2026-03-16,C296,P013,Phone Stand,Accessories,4,699,South
T000234,2026-03-16,C226,P014,Portable SSD,Storage,2,6499,West
T000235,2026-03-16,C229,P015,Wireless Charger,Electronics,4,1599,Central
T000236,2026-03-17,C089,P001,Wireless Mouse,Accessories,10,1499,East
T000237,2026-03-17,C095,P002,Mechanical Keyboard,Accessories,6,4499,West
T000238,2026-03-17,C095,P003,USB-C Cable,Accessories,14,499,North
T000239,2026-03-17,C246,P004,Laptop Stand,Accessories,3,1899,South
T000240,2026-03-17,C220,P005,Webcam,Electronics,2,3299,West
T000241,2026-03-17,C075,P006,Bluetooth Speaker,Electronics,13,2499,East
T000242,2026-03-17,C097,P007,Power Bank,Electronics,7,1799,Central
T000243,2026-03-17,C090,P008,Wireless Headphones,Audio,2,3999,North
T000244,2026-03-17,C092,P009,Smart Watch,Wearables,2,5999,South
T000245,2026-03-17,C149,P010,HDMI Cable,Accessories,5,899,Central
T000246,2026-03-17,C235,P011,USB Hub,Accessories,8,1299,East
T000247,2026-03-17,C077,P012,Laptop Backpack,Accessories,3,2299,North
T000248,2026-03-17,C075,P013,Phone Stand,Accessories,7,699,South
T000249,2026-03-17,C138,P014,Portable SSD,Storage,2,6499,West
T000250,2026-03-17,C187,P015,Wireless Charger,Electronics,6,1599,Central
T000251,2026-03-18,C184,P001,Wireless Mouse,Accessories,9,1499,East
T000252,2026-03-18,C059,P002,Mechanical Keyboard,Accessories,3,4499,West
T000253,2026-03-18,C188,P003,USB-C Cable,Accessories,17,499,North
T000254,2026-03-18,C279,P004,Laptop Stand,Accessories,1,1899,South
T000255,2026-03-18,C080,P005,Webcam,Electronics,3,3299,West
T000256,2026-03-18,C013,P006,Bluetooth Speaker,Electronics,7,2499,East
T000257,2026-03-18,C106,P007,Power Bank,Electronics,6,1799,Central
T000258,2026-03-18,C033,P008,Wireless Headphones,Audio,4,3999,North
T000259,2026-03-18,C251,P009,Smart Watch,Wearables,2,5999,South
T000260,2026-03-18,C116,P010,HDMI Cable,Accessories,9,899,Central
T000261,2026-03-18,C282,P011,USB Hub,Accessories,10,1299,East
T000262,2026-03-18,C027,P012,Laptop Backpack,Accessories,7,2299,North
T000263,2026-03-18,C018,P013,Phone Stand,Accessories,7,699,South
T000264,2026-03-18,C001,P014,Portable SSD,Storage,2,6499,West
T000265,2026-03-18,C207,P015,Wireless Charger,Electronics,4,1599,Central
T000266,2026-03-19,C186,P001,Wireless Mouse,Accessories,6,1499,East
T000267,2026-03-19,C183,P002,Mechanical Keyboard,Accessories,1,4499,West
T000268,2026-03-19,C169,P003,USB-C Cable,Accessories,17,499,North
T000269,2026-03-19,C236,P004,Laptop Stand,Accessories,3,1899,South
T000270,2026-03-19,C256,P005,Webcam,Electronics,7,3299,West
T000271,2026-03-19,C111,P006,Bluetooth Speaker,Electronics,7,2499,East
T000272,2026-03-19,C282,P007,Power Bank,Electronics,8,1799,Central
T000273,2026-03-19,C256,P008,Wireless Headphones,Audio,4,3999,North
T000274,2026-03-19,C177,P009,Smart Watch,Wearables,2,5999,South
T000275,2026-03-19,C061,P010,HDMI Cable,Accessories,5,899,Central
T000276,2026-03-19,C145,P011,USB Hub,Accessories,7,1299,East
T000277,2026-03-19,C077,P012,Laptop Backpack,Accessories,3,2299,North
T000278,2026-03-19,C211,P013,Phone Stand,Accessories,7,699,South
T000279,2026-03-19,C084,P014,Portable SSD,Storage,2,6499,West
T000280,2026-03-19,C078,P015,Wireless Charger,Electronics,7,1599,Central
T000281,2026-03-20,C030,P001,Wireless Mouse,Accessories,6,1499,East
T000282,2026-03-20,C077,P002,Mechanical Keyboard,Accessories,4,4499,West
T000283,2026-03-20,C239,P003,USB-C Cable,Accessories,15,499,North
T000284,2026-03-20,C042,P004,Laptop Stand,Accessories,3,1899,South
T000285,2026-03-20,C132,P005,Webcam,Electronics,4,3299,West
T000286,2026-03-20,C236,P006,Bluetooth Speaker,Electronics,9,2499,East
T000287,2026-03-20,C129,P007,Power Bank,Electronics,4,1799,Central
T000288,2026-03-20,C116,P009,Smart Watch,Wearables,2,5999,South
T000289,2026-03-20,C209,P010,HDMI Cable,Accessories,7,899,Central
T000290,2026-03-20,C064,P011,USB Hub,Accessories,6,1299,East
T000291,2026-03-20,C017,P012,Laptop Backpack,Accessories,4,2299,North
T000292,2026-03-20,C099,P013,Phone Stand,Accessories,9,699,South
T000293,2026-03-20,C125,P014,Portable SSD,Storage,1,6499,West
T000294,2026-03-20,C197,P015,Wireless Charger,Electronics,6,1599,Central
T000295,2026-03-21,C188,P001,Wireless Mouse,Accessories,8,1499,East
T000296,2026-03-21,C076,P002,Mechanical Keyboard,Accessories,5,4499,West
T000297,2026-03-21,C016,P003,USB-C Cable,Accessories,23,499,North
T000298,2026-03-21,C053,P004,Laptop Stand,Accessories,7,1899,South
T000299,2026-03-21,C084,P005,Webcam,Electronics,1,3299,West
T000300,2026-03-21,C207,P006,Bluetooth Speaker,Electronics,7,2499,East
T000301,2026-03-21,C228,P007,Power Bank,Electronics,13,1799,Central
T000302,2026-03-21,C088,P008,Wireless Headphones,Audio,7,3999,North
T000303,2026-03-21,C202,P009,Smart Watch,Wearables,2,5999,South
T000304,2026-03-21,C006,P010,HDMI Cable,Accessories,14,899,Central
T000305,2026-03-21,C283,P011,USB Hub,Accessories,8,1299,East
T000306,2026-03-21,C186,P012,Laptop Backpack,Accessories,3,2299,North
T000307,2026-03-21,C124,P013,Phone Stand,Accessories,10,699,South
T000308,2026-03-21,C206,P014,Portable SSD,Storage,3,6499,West
T000309,2026-03-21,C144,P015,Wireless Charger,Electronics,6,1599,Central
T000310,2026-03-22,C158,P001,Wireless Mouse,Accessories,11,1499,East
T000311,2026-03-22,C226,P002,Mechanical Keyboard,Accessories,1,4499,West
T000312,2026-03-22,C046,P003,USB-C Cable,Accessories,23,499,North
T000313,2026-03-22,C027,P004,Laptop Stand,Accessories,5,1899,South
T000314,2026-03-22,C045,P006,Bluetooth Speaker,Electronics,10,2499,East
T000315,2026-03-22,C231,P007,Power Bank,Electronics,5,1799,Central
T000316,2026-03-22,C164,P008,Wireless Headphones,Audio,2,3999,North
T000317,2026-03-22,C144,P009,Smart Watch,Wearables,5,5999,South
T000318,2026-03-22,C177,P010,HDMI Cable,Accessories,15,899,Central
T000319,2026-03-22,C070,P011,USB Hub,Accessories,6,1299,East
T000320,2026-03-22,C104,P012,Laptop Backpack,Accessories,4,2299,North
T000321,2026-03-22,C294,P013,Phone Stand,Accessories,12,699,South
T000322,2026-03-22,C052,P014,Portable SSD,Storage,6,6499,West
T000323,2026-03-22,C005,P015,Wireless Charger,Electronics,5,1599,Central
T000324,2026-03-23,C195,P001,Wireless Mouse,Accessories,8,1499,East
T000325,2026-03-23,C020,P002,Mechanical Keyboard,Accessories,5,4499,West
T000326,2026-03-23,C247,P003,USB-C Cable,Accessories,14,499,North
T000327,2026-03-23,C124,P004,Laptop Stand,Accessories,4,1899,South
T000328,2026-03-23,C026,P005,Webcam,Electronics,1,3299,West
T000329,2026-03-23,C218,P006,Bluetooth Speaker,Electronics,5,2499,East
T000330,2026-03-23,C222,P007,Power Bank,Electronics,5,1799,Central
T000331,2026-03-23,C145,P008,Wireless Headphones,Audio,3,3999,North
T000332,2026-03-23,C280,P009,Smart Watch,Wearables,3,5999,South
T000333,2026-03-23,C257,P010,HDMI Cable,Accessories,8,899,Central
T000334,2026-03-23,C184,P011,USB Hub,Accessories,5,1299,East
T000335,2026-03-23,C218,P012,Laptop Backpack,Accessories,4,2299,North
T000336,2026-03-23,C043,P013,Phone Stand,Accessories,6,699,South
T000337,2026-03-23,C008,P015,Wireless Charger,Electronics,7,1599,Central
T000338,2026-03-24,C174,P001,Wireless Mouse,Accessories,4,1499,East
T000339,2026-03-24,C299,P002,Mechanical Keyboard,Accessories,1,4499,West
T000340,2026-03-24,C030,P003,USB-C Cable,Accessories,12,499,North
T000341,2026-03-24,C181,P004,Laptop Stand,Accessories,4,1899,South
T000342,2026-03-24,C222,P005,Webcam,Electronics,2,3299,West
T000343,2026-03-24,C175,P006,Bluetooth Speaker,Electronics,3,2499,East
T000344,2026-03-24,C044,P007,Power Bank,Electronics,5,1799,Central
T000345,2026-03-24,C103,P008,Wireless Headphones,Audio,5,3999,North
T000346,2026-03-24,C033,P009,Smart Watch,Wearables,6,5999,South
T000347,2026-03-24,C240,P010,HDMI Cable,Accessories,13,899,Central
T000348,2026-03-24,C112,P011,USB Hub,Accessories,3,1299,East
T000349,2026-03-24,C144,P012,Laptop Backpack,Accessories,5,2299,North
T000350,2026-03-24,C194,P013,Phone Stand,Accessories,11,699,South
T000351,2026-03-24,C271,P014,Portable SSD,Storage,2,6499,West
T000352,2026-03-24,C040,P015,Wireless Charger,Electronics,3,1599,Central
T000353,2026-03-25,C048,P001,Wireless Mouse,Accessories,10,1499,East
T000354,2026-03-25,C143,P002,Mechanical Keyboard,Accessories,3,4499,West
T000355,2026-03-25,C299,P003,USB-C Cable,Accessories,13,499,North
T000356,2026-03-25,C003,P004,Laptop Stand,Accessories,2,1899,South
T000357,2026-03-25,C300,P006,Bluetooth Speaker,Electronics,8,2499,East
T000358,2026-03-25,C230,P007,Power Bank,Electronics,5,1799,Central
T000359,2026-03-25,C074,P008,Wireless Headphones,Audio,4,3999,North
T000360,2026-03-25,C258,P009,Smart Watch,Wearables,2,5999,South
T000361,2026-03-25,C254,P010,HDMI Cable,Accessories,16,899,Central
T000362,2026-03-25,C211,P011,USB Hub,Accessories,7,1299,East
T000363,2026-03-25,C280,P012,Laptop Backpack,Accessories,8,2299,North
T000364,2026-03-25,C158,P013,Phone Stand,Accessories,8,699,South
T000365,2026-03-25,C009,P014,Portable SSD,Storage,2,6499,West
T000366,2026-03-25,C211,P015,Wireless Charger,Electronics,5,1599,Central
T000367,2026-03-26,C077,P001,Wireless Mouse,Accessories,7,1499,East
T000368,2026-03-26,C060,P002,Mechanical Keyboard,Accessories,6,4499,West
T000369,2026-03-26,C176,P003,USB-C Cable,Accessories,14,499,North
T000370,2026-03-26,C230,P004,Laptop Stand,Accessories,5,1899,South
T000371,2026-03-26,C203,P005,Webcam,Electronics,2,3299,West
T000372,2026-03-26,C207,P006,Bluetooth Speaker,Electronics,4,2499,East
T000373,2026-03-26,C236,P007,Power Bank,Electronics,5,1799,Central
T000374,2026-03-26,C111,P008,Wireless Headphones,Audio,8,3999,North
T000375,2026-03-26,C261,P009,Smart Watch,Wearables,2,5999,South
T000376,2026-03-26,C069,P010,HDMI Cable,Accessories,3,899,Central
T000377,2026-03-26,C244,P011,USB Hub,Accessories,9,1299,East
T000378,2026-03-26,C097,P012,Laptop Backpack,Accessories,2,2299,North
